0,8;1
2,4;10
4,4;20
6,9;30
8,9;40
13,1;50
14,7;60
20,1;70
22,4;80
29,2;90
28,8;100
47,3;150
61;200
79;250
102;300
117;350
120;400
173;500
195;600
